//:csv
//:header
:sc,main,1
// world 1-2
@halstar,-10,2.3
@camera,0,4.5,-10
*skybox,sky-w1
@outofarea,11,-6.7
*custom,mission,Coin,>=,60
//:/header
*skybox,sky-w1;
*sound,bgmz;
*custom,camerahalstar,-2;
w1/block2,4,4=0
w1/block2,6,4=1
w1/block2,8,4=2
w1/block2,10,4=3
w1/block2,76,4=4
w1/block2,78,4=5
w1/block2,80,4=6
w1/block2,82,4=7
w1/block2,84,4=8
w1/block2,86,4=9
w1/block2,88,4=10
w1/block2,130,4=11
w1/block2,132,4=12
w1/block2,134,4=13
w1/block2,136,4=14
w1/block2,138,4=15
w1/block2,140,4=16
w1/block2,142,4=17
w1/block2,-4,2=18
w1/block2,-2,2=19
w1/block2,0,2=20
w1/block2,2,2=21
dende,10,2=22
w1/block2,14,2=23
w1/block2,16,2=24
w1/block2,18,2=25
w1/block2,20,2=26
dende,82,2=27
sunsun,88,2=28
sunsun,94,2=29
sunsun,100,2=30
sunsun,106,2=31
sunsun,112,2=32
sunsun,118,2=33
sunsun,126,2=34
w1/block2,-172,0=35
w1/block2,-170,0=36
w1/block2,-168,0=37
w1/block2,-166,0=38
w1/block2,-164,0=39
w1/block2,-162,0=40
w1/block2,-160,0=41
w1/block2,-158,0=42
w1/block2,-150,0=43
w1/block2,-148,0=44
w1/block2,-146,0=45
w1/block2,-144,0=46
w1/block2,-142,0=47
w1/block2,-140,0=48
w1/block2,-138,0=49
w1/block2,-136,0=50
w1/block2,-134,0=51
w1/block2,-132,0=52
w1/block2,-130,0=53
w1/block2,-128,0=54
w1/block2,-126,0=55
w1/block2,-124,0=56
w1/block2,-122,0=57
w1/block2,-118,0=58
w1/block2,-116,0=59
w1/block2,-114,0=60
w1/block2,-112,0=61
w1/block2,-108,0=62
w1/block2,-106,0=63
w1/block2,-98,0=64
w1/block2,-96,0=65
w1/block2,-94,0=66
w1/block2,-92,0=67
w1/block2,-90,0=68
w1/block2,-88,0=69
w1/block2,-86,0=70
w1/block2,-84,0=71
w1/block2,-82,0=72
w1/block2,-80,0=73
w1/block2,-78,0=74
w1/block2,-76,0=75
w1/block2,-44,0=76
w1/block2,-42,0=77
w1/block2,-40,0=78
w1/block2,-38,0=79
w1/block2,-36,0=80
w1/block2,-34,0=81
w1/block2,-32,0=82
w1/block2,-30,0=83
w1/block2,-28,0=84
w1/block2,-26,0=85
w1/block2,-24,0=86
w1/block2,-22,0=87
w1/block2,-20,0=88
w1/block2,-18,0=89
w1/block2,-16,0=90
w1/block2,-14,0=91
w1/block2,-12,0=92
w1/block2,-10,0=93
w1/block2,-8,0=94
w1/block2,-6,0=95
dende_dancer,0,0=96
coin/coin1,4,0=97
coin/coin1,6,0=98
coin/coin1,8,0=99
coin/coin1,10,0=100
coin/coin1,12,0=101
dende2,14,0=102
hashigo,88,0=103
hashigo,94,0=104
hashigo,100,0=105
hashigo,106,0=106
hashigo,112,0=107
hashigo,118,0=108
hashigo,126,0=109
dende2,-150,-2=110
dende2,-148,-2=111
dende2,-146,-2=112
dende2,-144,-2=113
dende2,-142,-2=114
dende2,-140,-2=115
dende2,-138,-2=116
dende2,-136,-2=117
dende2,-134,-2=118
dende2,-132,-2=119
dende2,-130,-2=120
dende2,-128,-2=121
dende2,-126,-2=122
w1/block2,-106,-2=123
tobottomleft,-98,-2=124
w1/block2,-72,-2=125
w1/block2,-46,-2=126
coin/coin1,-4,-2=127
coin/coin1,-2,-2=128
coin/coin1,0,-2=129
coin/coin1,2,-2=130
coin/coin1,12,-2=131
coin/coin1,14,-2=132
coin/coin1,16,-2=133
