//:csv
//:header
@goalobj,126,0.89
toride,130,-0.4
//:/header
*skybox,sky-w1;
*sound,bgmz;
w1/block2,0,4=0
w1/block2,2,4=1
w1/block2,4,4=2
w1/block2,6,4=3
w1/block2,8,4=4
w1/block2,10,4=5
w1/block2,12,4=6
w1/block2,14,4=7
w1/block2,16,4=8
w1/block2,18,4=9
w1/block2,20,4=10
w1/block2,22,4=11
w1/block2,24,4=12
w1/block2,26,4=13
w1/block2,28,4=14
w1/block2,30,4=15
w1/block2,0,2=16
w1/block2,30,2=17
w1/block2,0,0=18
supergrape,14,0=19
*custom,supergrape,19,1
w1/block2,30,0=20
w1/block2,0,-2=21
bridge1,6,-2=22
bridge1,8,-2=23
w1/block2,18,-2=24
w1/block2,20,-2=25
w1/block2,22,-2=26
w1/block2,24,-2=27
w1/block2,30,-2=28
w1/block2,0,-4=29
w1/block2,18,-4=30
w1/block2,24,-4=31
w1/block2,30,-4=32
w1/block2,0,-6=33
w1/block2,2,-6=34
w1/block2,4,-6=35
bridge1,6,-6=36
bridge1,8,-6=37
w1/block2,10,-6=38
w1/block2,12,-6=39
w1/block2,14,-6=40
w1/block2,16,-6=41
w1/block2,18,-6=42
w1/block2,24,-6=43
w1/block2,30,-6=44
w1/block2,0,-8=45
tobottomright,18,-8=46
w1/block2,24,-8=47
w1/block2,30,-8=48
w1/block2,0,-10=49
w1/block2,24,-10=50
w1/block2,30,-10=51
w1/block2,0,-12=52
bridge1,14,-12=53
w1/say,16,-12=54
*custom,sayblock,54,土管への入り方:br:土管で下キーを押すとは入れます。
w1/block2,24,-12=55
w1/block2,30,-12=56
w1/block2,0,-14=57
w1/block2,24,-14=58
w1/block2,30,-14=59
@halstar,4,-10=60
@outofarea,11,8=61
//:footer
dokan,21,5=dokan1
*custom,dokan,dokan1,1
//:/footer
